individuals,Tdur1,Tdur2,Tdur3,Tdur4,Total,Tint1,Tint2,Tint3,Ffoun1,Ffoun2,Ffoun3,Ffoun4,Fhar1,Fhar2,Fhar3,Fhar4
6,0.156,0.121,0.354,0.423,1.391,0.105,0.087,0.145,830,990,900,900,1630,1980,1800,1980
6,0.11,0.11,0.359,0.446,1.402,0.116,0.104,0.157,810,940,900,900,1630,1980,1800,1980
7,0.11,0.238,0.255,1.184,2.06,0.157,0,0.116,680,770,770,770,1290,1630,1630,1630
7,0.11,0.226,0.226,1.567,2.506,0.162,0.052,0.163,680,770,770,770,1290,1630,1630,1630
7,0.11,0.232,0.243,0.731,1.664,0.151,0.046,0.151,680,770,770,770,1630,1630,1630,1630
7,0.092,0.232,0.214,1.323,2.239,0.18,0.029,0.169,680,770,770,770,1630,1630,1630,1630
7,0.121,0.255,0.243,1.358,2.274,0.134,0.029,0.134,680,770,770,770,1290,1630,1630,1630
7,0.174,0.214,0.232,1.3,2.169,0.058,0.034,0.157,680,860,770,770,1460,1630,1630,1630
7,0.098,0.238,0.249,1.01,1.984,0.18,0.029,0.18,680,770,770,770,1550,1630,1630,1630
7,0.15,0.232,0.232,1.155,2.058,0.064,0.034,0.191,680,770,770,770,1890,1630,1630,1630
7,0.11,0.232,0.238,1.079,2.041,0.174,0.023,0.185,680,770,770,770,1890,1630,1630,1630
7,0.098,0.243,0.203,1.387,2.348,0.174,0.034,0.209,680,770,770,770,1890,1630,1630,1630
8,0.145,0.15,0.336,1.027,1.954,0.139,0.029,0.128,510,770,770,600,1630,1630,1630,1200
8,0.139,0.15,0.435,0.905,1.826,0.145,0.029,0.023,510,770,770,600,1110,1630,1630,1200
8,0.139,0.133,0.441,0.963,1.926,0.151,0.041,0.058,510,770,770,600,1110,1630,1630,1200
8,0.15,0.139,0.458,0.859,1.81,0.146,0.035,0.023,600,770,770,600,1110,1630,1630,1200
8,0.139,0.133,0.423,0.905,1.885,0.157,0.046,0.082,510,770,770,600,1110,1550,1630,1200
8,0.156,0.145,0.476,0.876,1.844,0.134,0.034,0.023,510,770,770,600,1030,1630,1630,1200
8,0.15,0.145,0.417,0.783,1.768,0.14,0.04,0.093,510,770,860,600,1110,1630,1630,1200
8,0.145,0.15,0.429,0.835,1.773,0.144,0.035,0.035,510,770,860,600,1030,1630,1720,1200
8,0.127,0.15,0.417,0.847,1.831,0.151,0.041,0.098,600,770,860,600,1110,1630,1720,1200
8,0.127,0.139,0.429,0.917,1.879,0.151,0.035,0.081,600,770,860,600,1110,1630,1720,1200
9,0.139,0.162,0.313,0.278,1.228,0.133,0.052,0.151,780,1000,770,940,1630,1980,2230,1720
9,0.116,0.162,0.313,0.267,1.217,0.145,0.046,0.168,680,940,860,940,1630,1980,1720,1720
9,0.127,0.156,0.307,0.272,1.211,0.14,0.052,0.157,680,940,990,840,1630,1980,1720,1720
9,0.121,0.156,0.296,0.267,1.229,0.146,0.058,0.185,680,940,860,940,1630,1980,1720,1800
9,0.121,0.156,0.307,0.272,1.228,0.151,0.052,0.169,680,940,860,940,1630,1980,1720,1720
9,0.127,0.156,0.29,0.313,1.275,0.145,0.058,0.186,680,990,940,940,1720,1980,1720,1720
9,0.127,0.162,0.296,0.278,1.228,0.145,0.052,0.168,680,940,940,940,1630,1980,1720,1720
9,0.127,0.15,0.325,0.29,1.252,0.145,0.064,0.151,680,940,940,940,1630,1980,1720,1720
9,0.116,0.156,0.301,0.296,1.24,0.156,0.052,0.163,680,990,990,680,1630,1980,1980,1720
9,0.133,0.156,0.29,0.296,1.252,0.139,0.07,0.168,680,940,770,680,1720,1980,1980,1890
10,0.092,0.226,0.516,0.806,1.791,0.053,0,0.098,600,860,860,680,1460,1630,1630,1630
10,0.069,0.22,0.505,0.911,1.919,0.093,0,0.121,680,860,860,680,1460,1630,1630,1370
10,0.081,0.156,0.592,0.957,1.942,0.087,0,0.069,600,860,860,680,1550,1630,1630,1460
10,0.075,0.197,0.516,1.033,2.03,0.099,0,0.11,600,860,860,680,1630,1630,1630,1630
10,0.081,0.197,0.505,0.963,1.965,0.098,0,0.121,600,860,860,680,1630,1630,1630,1630
10,0.069,0.197,0.505,0.852,1.895,0.116,0,0.156,600,860,860,680,1550,1630,1630,1370
10,0.075,0.208,0.516,0.812,1.825,0.104,0,0.11,600,860,860,680,1630,1630,1630,1630
10,0.092,0.203,0.499,0.957,1.966,0.076,0,0.139,680,860,860,680,1630,1630,1630,1630
10,0.069,0.203,0.487,0.557,1.543,0.105,0,0.122,680,860,860,680,1290,1630,1630,1720
10,0.063,0.156,0.545,0.899,1.89,0.105,0,0.122,600,860,860,680,1290,1720,1630,1630
11,0.11,0.121,0.441,0.238,1.299,0.128,0.058,0.203,770,940,710,860,1550,1630,1630,1720
11,0.116,0.116,0.458,0.243,1.309,0.132,0.052,0.192,770,770,940,770,1550,1630,1630,1720
11,0.116,0.116,0.446,0.255,1.321,0.127,0.063,0.198,770,940,810,900,1550,1630,1630,1720
11,0.133,0.121,0.458,0.261,1.339,0.121,0.053,0.192,770,940,770,860,1550,1630,1630,1720
11,0.139,0.116,0.423,0.232,1.275,0.11,0.063,0.192,770,910,860,770,1550,1800,1720,1630
11,0.133,0.127,0.441,0.29,1.351,0.105,0.058,0.197,770,990,770,860,1550,1890,1630,1720
11,0.15,0.1212,0.458,0.313,1.39,0.093,0.0578,0.197,730,940,770,820,1550,1800,1630,1720
11,0.133,0.121,0.417,0.284,1.373,0.11,0.058,0.25,770,940,770,900,1550,1890,1630,1720
11,0.133,0.116,0.464,0.249,1.321,0.099,0.069,0.191,770,830,770,860,1550,1720,1630,1630
11,0.121,0.116,0.452,0.278,1.356,0.122,0.069,0.198,770,940,770,860,1550,1890,1630,1720
12,0.162,0.22,0.597,2.281,3.347,0.087,0,0,600,770,770,600,1630,1630,1550,1630
12,0.162,0.214,0.638,1.758,2.859,0.087,0,0,600,770,770,600,1800,1630,1550,1630
12,0.162,0.208,0.65,2.02,3.127,0.087,0,0,600,770,770,600,1200,1630,1550,1630
12,0.133,0.214,0.592,1.799,2.854,0.116,0,0,600,770,770,600,1200,1630,1550,1630
12,0.145,0.238,0.615,2.095,3.18,0.087,0,0,600,770,770,600,1630,1550,1550,1550
12,0.145,0.238,0.592,2.165,3.233,0.093,0,0,680,770,770,680,1630,1550,1550,1550
12,0.145,0.238,0.592,1.956,3.029,0.098,0,0,600,770,770,680,1630,1630,1550,1550
12,0.145,0.243,0.551,2.037,3.074,0.098,0,0,600,770,770,600,1630,1550,1550,1630
12,0.168,0.238,0.545,2.188,3.226,0.087,0,0,600,770,770,680,1630,1550,1550,1550
12,0.15,0.249,0.574,1.782,2.854,0.099,0,0,600,770,770,680,1630,1550,1550,1550
13,0.168,0.133,0.458,0.714,1.618,0.145,0,0,680,770,770,600,1460,1550,1550,1550
13,0.162,0.168,0.394,0.748,1.617,0.145,0,0,680,770,770,600,1460,1550,1550,1550
13,0.139,0.15,0.417,0.684,1.558,0.168,0,0,680,770,680,600,1460,1550,1550,1550
13,0.168,0.156,0.388,0.714,1.565,0.139,0,0,680,770,680,600,1460,1550,1550,1460
13,0.168,0.174,0.429,0.824,1.728,0.133,0,0,680,770,770,600,1370,1550,1550,1460
13,0.168,0.174,0.388,0.876,1.757,0.151,0,0,680,770,770,600,1460,1550,1550,1550
13,0.174,0.15,0.394,0.847,1.704,0.139,0,0,680,770,770,600,1460,1550,1550,1550
13,0.162,0.156,0.359,0.934,1.762,0.151,0,0,680,770,770,600,1370,1550,1550,1550
13,0.174,0.162,0.441,0.888,1.804,0.139,0,0,680,770,770,600,1460,1550,1550,1550
13,0.174,0.168,0.359,0.899,1.745,0.145,0,0,680,770,770,600,1460,1550,1550,1550
14,0.145,0.174,0.33,0.307,1.253,0.122,0,0.175,770,940,940,770,1550,1890,1890,1630
14,0.156,0.179,0.301,0.348,1.282,0.105,0,0.193,770,770,990,770,1550,1890,1890,1630
14,0.156,0.185,0.313,0.365,1.316,0.111,0,0.186,770,860,940,770,1550,1890,1890,1630
14,0.15,0.179,0.325,0.313,1.269,0.122,0,0.18,780,770,940,680,1550,1890,1890,1630
14,0.162,0.191,0.296,0.342,1.305,0.105,0,0.209,770,860,940,770,1550,1630,1890,1630
14,0.15,0.179,0.284,0.307,1.264,0.117,0,0.227,770,860,940,770,1550,1630,1890,1630
14,0.162,0.185,0.301,0.342,1.27,0.099,0,0.181,770,860,940,770,1550,1630,1890,1630
14,0.156,0.174,0.325,0.336,1.276,0.105,0,0.18,770,860,940,770,1550,1890,1890,1550
14,0.162,0.185,0.301,0.383,1.322,0.099,0,0.192,770,940,940,770,1550,1890,1890,1630
14,0.15,0.179,0.307,0.33,1.281,0.117,0,0.198,770,860,940,770,1550,1630,1890,1630
15,0.139,0.203,0.522,1.311,2.326,0.151,0,0,600,770,770,770,1460,1550,1550,1460
15,0.139,0.191,0.521,1.236,2.238,0.151,0,0,600,770,770,770,1370,1550,1550,1460
15,0.139,0.203,0.526,1.195,2.231,0.168,0,0,600,770,770,770,1370,1550,1550,1460
15,0.145,0.203,0.51,1.201,2.214,0.155,0,0,600,770,770,770,1460,1550,1550,1460
15,0.145,0.203,0.499,1.172,2.17,0.151,0,0,600,770,770,680,1460,1550,1550,1460
15,0.116,0.197,0.539,1.271,2.296,0.173,0,0,600,1030,770,680,1460,1890,1460,1460
15,0.133,0.197,0.516,1.248,2.262,0.168,0,0,600,940,770,770,1110,1460,1550,1460
15,0.121,0.191,0.528,1.311,2.337,0.186,0,0,600,940,770,770,1460,2060,1550,1460
15,0.121,0.203,0.522,1.369,2.395,0.18,0,0,600,680,770,680,1370,1460,1550,1460
15,0.127,0.203,0.505,1.34,2.355,0.18,0,0,600,940,770,680,1370,1980,1550,1460
16,0.162,0.156,0.551,0.76,1.739,0.11,0,0,680,860,860,770,1460,1630,1720,1630
16,0.15,0.15,0.684,0.754,1.866,0.128,0,0,680,860,860,770,1460,1720,1720,1630
16,0.156,0.156,0.522,0.539,1.495,0.122,0,0,680,860,860,770,1460,1720,1720,1630
16,0.156,0.174,0.51,0.899,1.867,0.128,0,0,680,860,860,770,1460,1720,1720,1630
16,0.162,0.174,0.51,0.824,1.786,0.116,0,0,680,860,860,860,1370,1720,1720,1630
16,0.168,0.168,0.534,0.76,1.746,0.116,0,0,680,860,860,770,1370,1720,1720,1630
16,0.156,0.179,0.528,0.888,1.873,0.122,0,0,680,860,860,770,1370,1720,1720,1630
16,0.15,0.179,0.505,0.748,1.71,0.128,0,0,680,860,860,860,1370,1720,1720,1630
16,0.174,0.168,0.603,0.795,1.85,0.11,0,0,680,860,860,770,1460,1720,1720,1630
16,0.162,0.174,0.568,0.743,1.775,0.128,0,0,680,860,860,860,1370,1720,1720,1630
17,0.232,0.249,0.423,1.207,2.175,0.064,0,0,860,770,940,860,1720,1370,1370,1720
17,0.197,0.232,0.464,1.068,2.065,0.104,0,0,860,940,940,860,1720,1460,1370,1720
17,0.214,0.249,0.423,1.039,1.995,0.07,0,0,860,940,940,860,1720,1800,1890,1720
17,0.214,0.232,0.464,0.934,1.937,0.093,0,0,860,940,940,860,1720,1980,1890,1720
17,0.226,0.243,0.481,0.952,1.977,0.075,0,0,860,940,940,860,1720,1800,1890,1720
17,0.238,0.249,0.435,1.178,2.169,0.069,0,0,770,770,940,860,1720,1370,1370,1720
17,0.226,0.249,0.481,1.091,2.117,0.07,0,0,860,940,940,860,1720,1370,1370,1720
17,0.208,0.232,0.435,1.021,1.978,0.082,0,0,860,940,940,860,1720,1800,1890,1720
17,0.208,0.226,0.417,1.102,2.029,0.076,0,0,860,940,940,860,1720,1460,1370,1720
17,0.214,0.226,0.429,0.638,1.583,0.076,0,0,860,940,940,940,1800,1980,1890,1800
18,0.127,0.301,0.336,0.29,1.466,0.128,0,0.284,770,860,860,940,1460,1630,1630,1980
18,0.133,0.301,0.388,0.296,1.438,0.116,0,0.204,770,860,860,940,1630,1630,1630,1890
18,0.127,0.249,0.412,0.313,1.461,0.128,0,0.232,770,860,860,940,1550,1630,1720,1890
18,0.116,0.243,0.406,0.267,1.432,0.139,0,0.261,770,860,860,940,1550,1630,1720,1980
18,0.11,0.267,0.394,0.33,1.514,0.157,0,0.256,770,860,860,940,1550,1630,1720,1980
